t_ms,host_time_iso,true_distance_cm,measured_dist_cm,t_rel_ms_global,t_rel_ms_truth,dist_ema_cm,dist_lp_cm,dist_median_cm,dist_outlier_cm,dist_kalman_cm,measured_dist_cm_cal,dist_ema_cm_cal,dist_lp_cm_cal,dist_median_cm_cal,dist_outlier_cm_cal,dist_kalman_cm_cal
606563,2025-09-21T11:48:30.209,10.0,10.856,3700,3700.0,10.818795734351049,10.807413719224458,10.856,10.856,10.8609154636388,8.958185276225755,8.916185261201367,8.903336067755774,8.958185276225755,8.958185276225755,8.963734358920451
606663,2025-09-21T11:48:30.310,10.0,10.856,3800,3800.0,10.82623658748084,10.819560289418344,10.856,10.856,10.860685978924643,8.958185276225755,8.924585264206247,8.917048369873271,8.958185276225755,8.958185276225755,8.963475292889331
606763,2025-09-21T11:48:30.410,10.0,10.856,3900,3900.0,10.832189269984674,10.828670217063758,10.856,10.856,10.860468427795654,8.958185276225755,8.931305266610153,8.92733259646139,8.958185276225755,8.958185276225755,8.963229698720848
606863,2025-09-21T11:48:30.510,10.0,10.856,4000,4000.0,10.836951415987741,10.835502662797818,10.856,10.856,10.860262034623894,8.958185276225755,8.936681268533274,8.935045766402482,8.958185276225755,8.958185276225755,8.962996700806126
606963,2025-09-21T11:48:30.610,10.0,10.856,4100,4100.0,10.840761132790194,10.840626997098363,10.856,10.856,10.860066092803923,8.958185276225755,8.940982070071772,8.940830643858302,8.958185276225755,8.958185276225755,8.962775501456022
607063,2025-09-21T11:48:30.709,10.0,10.856,4200,4200.0,10.843808906232155,10.844470247823772,10.856,10.856,10.859879956637956,8.958185276225755,8.944422711302568,8.945169301950163,8.958185276225755,8.958185276225755,8.962565371740226
607163,2025-09-21T11:48:30.810,10.0,10.856,4300,4300.0,10.846247124985725,10.847352685867829,10.856,10.856,10.859703034364767,8.958185276225755,8.947175224287207,8.948423295519063,8.958185276225755,8.958185276225755,8.962365643617591
607263,2025-09-21T11:48:30.910,10.0,10.856,4400,4400.0,10.848197699988582,10.849514514400871,10.856,10.856,10.859534782150345,8.958185276225755,8.94937723467492,8.950863790695735,8.958185276225755,8.958185276225755,8.962175703152155
607363,2025-09-21T11:48:31.010,10.0,10.856,4500,4500.0,10.849758159990866,10.851135885800653,10.856,10.856,10.859374698890285,8.958185276225755,8.951138842985088,8.952694162078242,8.958185276225755,8.958185276225755,8.961994984645543
607463,2025-09-21T11:48:31.110,10.0,10.856,4600,4600.0,10.851006527992695,10.85235191435049,10.856,10.856,10.85922232169978,8.958185276225755,8.952548129633225,8.954066940615117,8.958185276225755,8.958185276225755,8.961822965545611
607563,2025-09-21T11:48:31.210,10.0,10.856,4700,4700.0,10.852005222394157,10.853263935762866,10.856,10.856,10.859077221987993,8.958185276225755,8.95367555895173,8.955096524517778,8.958185276225755,8.958185276225755,8.961659162014787
607663,2025-09-21T11:48:31.310,10.0,10.856,4800,4800.0,10.852804177915326,10.85394795182215,10.856,10.856,10.858939002030729,8.958185276225755,8.954577502406536,8.955868712444772,8.958185276225755,8.958185276225755,8.961503125060943
607763,2025-09-21T11:48:31.410,10.0,10.856,4900,4900.0,10.853443342332262,10.854460963866613,10.856,10.856,10.858807291969267,8.958185276225755,8.955299057170382,8.95644785339002,8.958185276225755,8.958185276225755,8.961354437149389
607863,2025-09-21T11:48:31.510,10.0,10.856,5000,5000.0,10.853954673865811,10.85484572289996,10.856,10.856,10.858681747174762,8.958185276225755,8.955876300981458,8.956882209098953,8.958185276225755,8.958185276225755,8.96121270922751
607963,2025-09-21T11:48:31.610,10.0,10.856,5100,5100.0,10.85436373909265,10.85513429217497,10.856,10.856,10.858562045927076,8.958185276225755,8.956338096030318,8.957207975880657,8.958185276225755,8.958185276225755,8.961077578104412
608063,2025-09-21T11:48:31.710,10.0,10.856,5200,5200.0,10.85469099127412,10.855350719131227,10.856,10.856,10.858447887364818,8.958185276225755,8.956707532069409,8.957452300966931,8.958185276225755,8.958185276225755,8.960948704136698
608163,2025-09-21T11:48:31.810,10.0,10.856,5300,5300.0,10.854952793019297,10.85551303934842,10.856,10.856,10.858338989669887,8.958185276225755,8.95700308090068,8.957635544781635,8.958185276225755,8.958185276225755,8.960825769179014
608263,2025-09-21T11:48:31.910,10.0,10.856,5400,5400.0,10.855162234415438,10.855634779511314,10.856,10.856,10.85823508845532,8.958185276225755,8.957239519965697,8.957772977642666,8.958185276225755,8.958185276225755,8.960708474764065
608363,2025-09-21T11:48:32.010,10.0,10.907,5500,5500.0,10.86552978753235,10.868476084633485,10.907,10.856,10.860398400329737,9.01575934008325,8.968943483989207,8.972269568252813,9.01575934008325,8.958185276225755,8.963150644489584
608463,2025-09-21T11:48:32.109,10.0,10.907,5600,5600.0,10.87382383002588,10.878107063475113,10.907,10.856,10.86246321727041,9.01575934008325,8.978306655208016,8.983142011210418,9.01575934008325,8.958185276225755,8.965481622967943
608563,2025-09-21T11:48:32.210,10.0,10.907,5700,5700.0,10.880459064020705,10.885330297606334,10.907,10.856,10.86443434162445,9.01575934008325,8.985797192183064,8.991296343428626,9.01575934008325,8.958185276225755,8.967706831584227
608663,2025-09-21T11:48:32.310,10.0,10.856,5800,5800.0,10.875567251216566,10.87799772320475,10.856,10.856,10.864061433062028,8.958185276225755,8.980274808991602,8.98301857662791,8.958185276225755,8.958185276225755,8.967285853909996
608763,2025-09-21T11:48:32.410,10.0,10.856,5900,5900.0,10.871653800973254,10.872498292403563,10.856,10.856,10.863705345024082,8.958185276225755,8.975856902438437,8.976810251527372,8.958185276225755,8.958185276225755,8.966883864979884
608863,2025-09-21T11:48:32.510,10.0,10.856,6000,6000.0,10.868523040778605,10.868373719302673,10.856,10.856,10.86336527690535,8.958185276225755,8.972322577195904,8.972154007701967,8.958185276225755,8.958185276225755,8.966499960988045
608963,2025-09-21T11:48:32.610,10.0,10.856,6100,6100.0,10.866018432622885,10.865280289477004,10.856,10.856,10.863040471412148,8.958185276225755,8.969495117001873,8.968661824832914,8.958185276225755,8.958185276225755,8.966133287023204
609063,2025-09-21T11:48:32.709,10.0,10.856,6200,6200.0,10.86401474609831,10.862960217107753,10.856,10.856,10.862730211598294,8.958185276225755,8.967233148846653,8.966042687681124,8.958185276225755,8.958185276225755,8.965783033722513
609163,2025-09-21T11:48:32.809,10.0,10.856,6300,6300.0,10.862411796878648,10.861220162830815,10.856,10.856,10.862433818170688,8.958185276225755,8.965423574322475,8.964078334817284,8.958185276225755,8.958185276225755,8.96544843422981
609263,2025-09-21T11:48:32.910,10.0,10.856,6400,6400.0,10.86112943750292,10.85991512212311,10.856,10.856,10.862150647034003,8.958185276225755,8.96397591470313,8.962605070169403,8.958185276225755,8.958185276225755,8.96512876142381
609363,2025-09-21T11:48:33.010,10.0,10.856,6500,6500.0,10.860103550002336,10.858936341592333,10.856,10.856,10.861880087047886,8.958185276225755,8.962817787007658,8.961500121683489,8.958185276225755,8.958185276225755,8.964823325386202
609463,2025-09-21T11:48:33.110,10.0,10.856,6600,6600.0,10.85928284000187,10.85820225619425,10.856,10.856,10.86162155797343,8.958185276225755,8.961891284851276,8.960671410319058,8.958185276225755,8.958185276225755,8.964531471083422
609563,2025-09-21T11:48:33.209,10.0,10.856,6700,6700.0,10.858626272001496,10.857651692145687,10.856,10.856,10.86137450858863,8.958185276225755,8.961150083126174,8.960049876795733,8.958185276225755,8.958185276225755,8.96425257623918
609663,2025-09-21T11:48:33.310,10.0,10.856,6800,6800.0,10.858101017601198,10.857238769109266,10.856,10.856,10.861138414955002,8.958185276225755,8.960557121746092,8.95958372665324,8.958185276225755,8.958185276225755,8.963986049377631
609763,2025-09-21T11:48:33.410,10.0,10.856,6900,6900.0,10.85768081408096,10.85692907683195,10.856,10.856,10.860912778819772,8.958185276225755,8.960082752642027,8.959234114046367,8.958185276225755,8.958185276225755,8.963731328019627
609863,2025-09-21T11:48:33.509,10.0,10.856,7000,7000.0,10.857344651264768,10.856696807623962,10.856,10.856,10.860697126139907,8.958185276225755,8.959703257358772,8.958971904591216,8.958185276225755,8.958185276225755,8.963487877016458
609963,2025-09-21T11:48:33.609,10.0,10.856,7100,7100.0,10.857075721011816,10.856522605717972,10.856,10.856,10.86049100571589,8.958185276225755,8.95939966113217,8.958775247499851,8.958185276225755,8.958185276225755,8.96325518700754
610063,2025-09-21T11:48:33.710,10.0,10.856,7200,7200.0,10.856860576809453,10.85639195428848,10.856,10.856,10.860293987924578,8.958185276225755,8.959156784150888,8.958627754681327,8.958185276225755,8.958185276225755,8.963032772989934
610163,2025-09-21T11:48:33.810,10.0,10.856,7300,7300.0,10.856688461447563,10.85629396571636,10.856,10.856,10.860105663541749,8.958185276225755,8.958962482565862,8.958517135067435,8.958185276225755,8.958185276225755,8.96282017298909
610263,2025-09-21T11:48:33.909,10.0,10.856,7400,7400.0,10.856550769158051,10.85622047428727,10.856,10.856,10.859925642645948,8.958185276225755,8.958807041297842,8.958434170357016,8.958185276225755,8.958185276225755,8.962616946821434
610363,2025-09-21T11:48:34.010,10.0,10.856,7500,7500.0,10.856440615326441,10.856165355715452,10.856,10.856,10.859753553596283,8.958185276225755,8.958682688283428,8.958371946824201,8.958185276225755,8.958185276225755,8.962422674940363
610463,2025-09-21T11:48:34.110,10.0,10.856,7600,7600.0,10.856352492261154,10.85612401678659,10.856,10.856,10.85958904207757,8.958185276225755,8.958583205871893,8.958325279174591,8.958185276225755,8.958185276225755,8.962236957358328
610563,2025-09-21T11:48:34.210,10.0,10.856,7700,7700.0,10.856281993808924,10.856093012589941,10.856,10.856,10.859431770206983,8.958185276225755,8.958503619942668,8.958290278437381,8.958185276225755,8.958185276225755,8.962059412638329
610663,2025-09-21T11:48:34.310,10.0,10.856,7800,7800.0,10.85622559504714,10.856069759442455,10.856,10.856,10.859281415697007,8.958185276225755,8.958439951199288,8.958264027884475,8.958185276225755,8.958185276225755,8.961889676948942
610763,2025-09-21T11:48:34.410,10.0,10.89,7900,7900.0,10.862980476037714,10.864552319581842,10.856,10.8628,10.86062706399356,8.996567985464086,8.96606555805225,8.967840017279379,8.958185276225755,8.965861818073424,8.963408783634343
610863,2025-09-21T11:48:34.510,10.0,10.839,8000,8000.0,10.858184380830172,10.858164239686381,10.839,10.8696,10.859679811294425,8.938993921606592,8.96065123076312,8.960628493361181,8.938993921606592,8.97353835992109,8.962339427018872
610963,2025-09-21T11:48:34.610,10.0,10.839,8100,8100.0,10.854347504664139,10.853373179764786,10.839,10.8764,10.858774166102325,8.938993921606592,8.956319768931813,8.955219850422534,8.938993921606592,8.981214901768755,8.961317041251768
611063,2025-09-21T11:48:34.709,10.0,10.839,8200,8200.0,10.851278003731311,10.84977988482359,10.839,10.8832,10.857908285964866,8.938993921606592,8.952854599466772,8.951163368218548,8.938993921606592,8.98889144361642,8.96033954638261
611163,2025-09-21T11:48:34.810,10.0,10.89,8300,8300.0,10.85902240298505,10.859834913617693,10.89,10.89,10.85931337886582,8.996567985464086,8.961597276666232,8.962514522529933,8.996567985464086,8.996567985464086,8.961925760272912
611263,2025-09-21T11:48:34.910,10.0,10.89,8400,8400.0,10.865217922388041,10.86737618521327,10.89,10.89,10.860656817350828,8.996567985464086,8.968591418425806,8.971027888263475,8.996567985464086,8.996567985464086,8.963442372294956
611363,2025-09-21T11:48:35.010,10.0,10.89,8500,8500.0,10.870174337910434,10.873032138909952,10.89,10.89,10.861941323632585,8.996567985464086,8.974186731833463,8.977412912563626,8.996567985464086,8.996567985464086,8.964892455563415
611463,2025-09-21T11:48:35.109,10.0,10.89,8600,8600.0,10.874139470328348,10.877274104182465,10.89,10.89,10.863169497615958,8.996567985464086,8.978662982559587,8.98220168078874,8.996567985464086,8.996567985464086,8.966278945119235
611563,2025-09-21T11:48:35.209,10.0,10.89,8700,8700.0,10.877311576262679,10.88045557813685,10.89,10.89,10.864343822657085,8.996567985464086,8.982243983140489,8.985793256957578,8.996567985464086,8.996567985464086,8.967604644431141
611663,2025-09-21T11:48:35.309,10.0,10.89,8800,8800.0,10.879849261010145,10.882841683602638,10.89,10.89,10.865466671018885,8.996567985464086,8.98510878360521,8.988486939084208,8.996567985464086,8.996567985464086,8.968872231554368
611763,2025-09-21T11:48:35.409,10.0,10.89,8900,8900.0,10.881879408808118,10.88463126270198,10.89,10.89,10.866540309042769,8.996567985464086,8.987400623976988,8.990507200679179,8.996567985464086,8.996567985464086,8.970084264969014
611863,2025-09-21T11:48:35.510,10.0,10.839,9000,9000.0,10.873303527046493,10.873223447026485,10.839,10.8815,10.86533514871643,8.938993921606592,8.977719283502907,8.97762888091103,8.938993921606592,8.986972308154506,8.968723755604557
